"Date Time","p (mbar)","T (degC)","rh (%)","sh (g/kg)","Tpot (K)","Tdew (degC)","VPmax (mbar)","VPact (mbar)","VPdef (mbar)","H2OC (mmol/mol)","rho (g/m**3)","wv (m/s)","wd (deg)","rain (mm)","SWDR (W/m**2)","SDUR (s)","TRAD (degC)","Rn (W/m**2)","ST002 (degC)","ST004 (degC)","ST008 (degC)","ST016 (degC)","ST032 (degC)","ST064 (degC)","ST128 (degC)","SM008 (%)","SM016 (%)","SM032 (%)","SM064 (%)","SM128 (%)"
01.01.2021 00:10:00,  988.05,    1.61,   91.30,    3.95,  275.70,    0.35,    6.86,    6.27,    0.60,    6.34, 1249.73,    0.63,  104.50,   0.000,    0.00,    0.00,   -0.85,  -32.31,    2.23,    2.45,    2.67,    3.25,    4.16,    6.09,    8.67,   37.32,   33.09,   33.01,   30.76,   31.80
01.01.2021 00:20:00,  988.04,    1.32,   91.30,    3.87,  275.41,    0.06,    6.72,    6.14,    0.58,    6.21, 1251.10,    0.65,  161.30,   0.000,    0.00,    0.00,   -0.91,  -28.71,    2.20,    2.45,    2.68,    3.25,    4.16,    6.09,    8.67,   37.32,   33.09,   33.01,   30.76,   31.80
01.01.2021 00:30:00,  988.07,    0.97,   92.80,    3.84,  275.06,   -0.06,    6.55,    6.08,    0.47,    6.15, 1252.76,    0.67,  227.80,   0.000,    0.00,    0.00,   -0.30,  -10.20,    2.16,    2.44,    2.68,    3.25,    4.16,    6.09,    8.67,   37.32,   33.09,   33.01,   30.76,   31.80
01.01.2021 00:40:00,  988.09,    1.09,   92.10,    3.84,  275.18,   -0.04,    6.61,    6.09,    0.52,    6.16, 1252.22,    0.78,  195.50,   0.000,    0.00,    0.00,    0.07,   -6.56,    2.14,    2.43,    2.68,    3.26,    4.16,    6.09,    8.67,   37.32,   33.09,   33.01,   30.76,   31.80
01.01.2021 00:50:00,  988.08,    1.21,   91.70,    3.86,  275.30,    0.01,    6.67,    6.11,    0.55,    6.19, 1251.66,    0.73,  160.40,   0.000,    0.00,    0.00,    0.28,   -4.06,    2.14,    2.42,    2.68,    3.26,    4.16,    6.09,    8.67,   37.33,   33.09,   33.00,   30.76,   31.80
01.01.2021 01:00:00,  988.09,    1.49,   90.10,    3.87,  275.59,    0.05,    6.81,    6.13,    0.67,    6.21, 1250.37,    1.08,  200.40,   0.000,    0.00,    0.00,    0.29,   -2.91,    2.14,    2.42,    2.68,    3.26,    4.16,    6.09,    8.67,   37.34,   33.09,   33.00,   30.76,   31.80
01.01.2021 01:10:00,  988.09,    1.39,   92.20,    3.93,  275.48,    0.26,    6.75,    6.23,    0.53,    6.30, 1250.81,    0.36,  159.00,   0.010,    0.00,    0.00,    0.19,   -0.99,    2.14,    2.41,    2.68,    3.27,    4.16,    6.08,    8.67,   37.34,   33.09,   33.00,   30.76,   31.80
01.01.2021 01:20:00,  988.09,    1.30,   93.10,    3.94,  275.39,    0.31,    6.71,    6.25,    0.46,    6.32, 1251.21,    0.38,   24.56,   0.035,    0.00,    0.00,    0.28,   -0.84,    2.14,    2.40,    2.68,    3.27,    4.16,    6.08,    8.67,   37.34,   33.09,   33.00,   30.77,   31.80
01.01.2021 01:30:00,  988.09,    1.21,   95.50,    4.02,  275.30,    0.57,    6.67,    6.37,    0.30,    6.45, 1251.54,    0.64,   69.56,   0.060,    0.00,    0.00,    0.22,   -0.18,    2.14,    2.40,    2.68,    3.27,    4.16,    6.08,    8.66,   37.34,   33.09,   33.00,   30.77,   31.80
01.01.2021 01:40:00,  988.08,    1.18,   97.60,    4.10,  275.28,    0.85,    6.66,    6.50,    0.16,    6.57, 1251.59,    0.76,  110.80,   0.055,    0.00,    0.00,    0.18,    0.12,    2.15,    2.40,    2.68,    3.27,    4.16,    6.08,    8.66,   37.33,   33.09,   33.00,   30.77,   31.80
