date,iso_code,country,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website,,,,,,,date
2021-01-29,DZA,Algeria,0,,,,,0,,,,Sputnik V,Ministry of Health,https://www.aps.dz/regions/116777-blida-covid-19-trente-vaccines-au-matin-du-1er-jour-de-la-campagne,,,,,,,2021-01-29
2021-01-30,DZA,Algeria,30,,,30,30,0,,,1,Sputnik V,Ministry of Health,https://www.aps.dz/regions/116777-blida-covid-19-trente-vaccines-au-matin-du-1er-jour-de-la-campagne,,,,,,,2021-01-30
2021-01-25,AND,Andorra,576,576,,,,0.75,0.75,,,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12379-se-supera-el-miler-de-persones-vacunes-contra-el-coronavirus-sars-cov-2-a-andorra,,,,,,,2021-01-25
2021-01-26,AND,Andorra,,,,,66,,,,854,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12379-se-supera-el-miler-de-persones-vacunes-contra-el-coronavirus-sars-cov-2-a-andorra,,,,,,,2021-01-26
2021-01-27,AND,Andorra,,,,,66,,,,854,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12379-se-supera-el-miler-de-persones-vacunes-contra-el-coronavirus-sars-cov-2-a-andorra,,,,,,,2021-01-27
2021-01-28,AND,Andorra,,,,,66,,,,854,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12379-se-supera-el-miler-de-persones-vacunes-contra-el-coronavirus-sars-cov-2-a-andorra,,,,,,,2021-01-28
2021-01-29,AND,Andorra,,,,,66,,,,854,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12379-se-supera-el-miler-de-persones-vacunes-contra-el-coronavirus-sars-cov-2-a-andorra,,,,,,,2021-01-29
2021-01-30,AND,Andorra,,,,,66,,,,854,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12379-se-supera-el-miler-de-persones-vacunes-contra-el-coronavirus-sars-cov-2-a-andorra,,,,,,,2021-01-30
2021-01-31,AND,Andorra,,,,,66,,,,854,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12379-se-supera-el-miler-de-persones-vacunes-contra-el-coronavirus-sars-cov-2-a-andorra,,,,,,,2021-01-31
2021-02-01,AND,Andorra,1036,1036,,,66,1.34,1.34,,854,Pfizer/BioNTech,Government of Andorra,https://www.govern.ad/comunicats/item/12379-se-supera-el-miler-de-persones-vacunes-contra-el-coronavirus-sars-cov-2-a-andorra,,,,,,,2021-02-01
2020-12-29,ARG,Argentina,700,,,,,0,,,,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2020-12-29
2020-12-30,ARG,Argentina,,,,,15656,,,,346,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2020-12-30
2020-12-31,ARG,Argentina,32013,,,,15656,0.07,,,346,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2020-12-31
2021-01-01,ARG,Argentina,,,,,11070,,,,245,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-01
2021-01-02,ARG,Argentina,,,,,8776,,,,194,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-02
2021-01-03,ARG,Argentina,,,,,7400,,,,164,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-03
2021-01-04,ARG,Argentina,39599,,,,6483,0.09,,,143,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-04
2021-01-05,ARG,Argentina,,,,,7984,,,,177,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-05
2021-01-06,ARG,Argentina,,,,,8173,,,,181,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-06
2021-01-07,ARG,Argentina,,,,,8363,,,,185,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-07
2021-01-08,ARG,Argentina,107542,,,,10519,0.24,,,233,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-08
2021-01-09,ARG,Argentina,,,,,11942,,,,264,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-09
2021-01-10,ARG,Argentina,,,,,13365,,,,296,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-10
2021-01-11,ARG,Argentina,,,,,14788,,,,327,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-11
2021-01-12,ARG,Argentina,,,,,14056,,,,311,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-12
2021-01-13,ARG,Argentina,166833,,,,13323,0.37,,,295,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-13
2021-01-14,ARG,Argentina,,,,,13320,,,,295,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-14
2021-01-15,ARG,Argentina,200759,,,,13317,0.44,,,295,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-15
2021-01-16,ARG,Argentina,,,,,12971,,,,287,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-16
2021-01-17,ARG,Argentina,,,,,12624,,,,279,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-17
2021-01-18,ARG,Argentina,,,,,12278,,,,272,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-18
2021-01-19,ARG,Argentina,,,,,11932,,,,264,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-19
2021-01-20,ARG,Argentina,247933,243539,4394,,11586,0.55,0.54,0.01,256,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-20
2021-01-21,ARG,Argentina,265724,249372,16352,17791,11704,0.59,0.55,0.04,259,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-21
2021-01-22,ARG,Argentina,279602,254456,25146,13878,11263,0.62,0.56,0.06,249,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-22
2021-01-23,ARG,Argentina,288064,258876,29188,8462,11124,0.64,0.57,0.06,246,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-23
2021-01-24,ARG,Argentina,292023,260036,31987,3959,10342,0.65,0.58,0.07,229,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-24
2021-01-25,ARG,Argentina,292386,260122,32264,363,9046,0.65,0.58,0.07,200,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-25
2021-01-26,ARG,Argentina,305880,266969,38911,13494,9626,0.68,0.59,0.09,213,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-26
2021-01-27,ARG,Argentina,318033,272323,45710,12153,10014,0.7,0.6,0.1,222,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-27
2021-01-28,ARG,Argentina,327999,276548,51451,9966,8896,0.73,0.61,0.11,197,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-28
2021-01-29,ARG,Argentina,344034,278451,65583,16035,9205,0.76,0.62,0.15,204,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-29
2021-01-30,ARG,Argentina,366384,281023,85361,22350,11189,0.81,0.62,0.19,248,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-30
2021-01-31,ARG,Argentina,,,,,11299,,,,250,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-01-31
2021-02-01,ARG,Argentina,375851,281577,94274,,11924,0.83,0.62,0.21,264,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-02-01
2021-02-02,ARG,Argentina,,,,,11475,,,,254,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-02-02
2021-02-03,ARG,Argentina,396562,284196,112366,,11218,0.88,0.63,0.25,248,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-02-03
2021-02-04,ARG,Argentina,444018,297717,146301,47456,16574,0.98,0.66,0.32,367,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-02-04
2021-02-05,ARG,Argentina,,,,,16238,,,,359,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-02-05
2021-02-06,ARG,Argentina,471383,307501,163882,,15000,1.04,0.68,0.36,332,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-02-06
2021-02-07,ARG,Argentina,501152,319316,181836,29769,18576,1.11,0.71,0.4,411,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-02-07
2021-02-08,ARG,Argentina,511582,322318,189264,10430,19390,1.13,0.71,0.42,429,Sputnik V,Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina,,,,,,,2021-02-08
2021-01-10,AUT,Austria,6784,6784,,,,0.08,0.08,,,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-01-10
2021-01-11,AUT,Austria,11559,11559,,4775,4775,0.13,0.13,,530,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-01-11
2021-01-12,AUT,Austria,13172,13172,,1613,3194,0.15,0.15,,355,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-01-12
2021-01-13,AUT,Austria,20064,20064,,6892,4427,0.22,0.22,,492,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-01-13
2021-01-14,AUT,Austria,29359,29359,,9295,5644,0.33,0.33,,627,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-01-14
2021-01-15,AUT,Austria,39751,39751,,10392,6593,0.44,0.44,,732,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-01-15
2021-01-16,AUT,Austria,50402,50402,,10651,7270,0.56,0.56,,807,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-01-16
2021-01-17,AUT,Austria,55450,55450,,5048,6952,0.62,0.62,,772,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-01-17
2021-01-18,AUT,Austria,61012,60708,304,5562,7065,0.68,0.67,0,784,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-01-18
2021-01-19,AUT,Austria,71508,70474,1034,10496,8334,0.79,0.78,0.01,925,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-01-19
2021-01-20,AUT,Austria,88895,86888,2007,17387,9833,0.99,0.96,0.02,1092,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-01-20
2021-01-21,AUT,Austria,108252,105038,3214,19357,11270,1.2,1.17,0.04,1251,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-01-21
2021-01-22,AUT,Austria,124756,121216,3540,16504,12144,1.39,1.35,0.04,1348,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-01-22
2021-01-23,AUT,Austria,136348,132105,4243,11592,12278,1.51,1.47,0.05,1363,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-01-23
2021-01-24,AUT,Austria,139538,135249,4289,3190,12013,1.55,1.5,0.05,1334,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-01-24
2021-01-25,AUT,Austria,141350,137044,4306,1812,11477,1.57,1.52,0.05,1274,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-01-25
2021-01-26,AUT,Austria,150933,146587,4346,9583,11346,1.68,1.63,0.05,1260,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-01-26
2021-01-27,AUT,Austria,158985,153859,5126,8052,10013,1.77,1.71,0.06,1112,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-01-27
2021-01-28,AUT,Austria,169439,163806,5633,10454,8741,1.88,1.82,0.06,971,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-01-28
2021-01-29,AUT,Austria,181419,174262,7157,11980,8095,2.01,1.93,0.08,899,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-01-29
2021-01-30,AUT,Austria,197179,183628,13551,15760,8690,2.19,2.04,0.15,965,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-01-30
2021-01-31,AUT,Austria,200498,185291,15207,3319,8709,2.23,2.06,0.17,967,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-01-31
2021-02-01,AUT,Austria,202345,186479,15866,1847,8714,2.25,2.07,0.18,968,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-02-01
2021-02-02,AUT,Austria,208988,189926,19062,6643,8294,2.32,2.11,0.21,921,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-02-02
2021-02-03,AUT,Austria,222520,194287,28233,13532,9076,2.47,2.16,0.31,1008,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-02-03
2021-02-04,AUT,Austria,238241,198912,39329,15721,9829,2.65,2.21,0.44,1091,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-02-04
2021-02-05,AUT,Austria,252829,202160,50669,14588,10201,2.81,2.24,0.56,1133,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-02-05
2021-02-06,AUT,Austria,270267,208144,62123,17438,10441,3,2.31,0.69,1159,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-02-06
2021-02-07,AUT,Austria,276860,210239,66621,6593,10909,3.07,2.33,0.74,1211,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-02-07
2021-02-08,AUT,Austria,283197,212062,71135,6337,11550,3.14,2.35,0.79,1282,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gv.at/katalog/dataset/589132b2-c000-4c60-85b4-c5036cdf3406,,,,,,,2021-02-08
2020-12-23,BHR,Bahrain,38965,38965,,,,2.29,2.29,,,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1358883639925354496,,,,,,,2020-12-23
2020-12-24,BHR,Bahrain,50071,50071,,11106,11106,2.94,2.94,,6527,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1358883639925354496,,,,,,,2020-12-24
2020-12-25,BHR,Bahrain,50543,50543,,472,5789,2.97,2.97,,3402,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1358883639925354496,,,,,,,2020-12-25
2020-12-26,BHR,Bahrain,51556,51556,,1013,4197,3.03,3.03,,2467,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1358883639925354496,,,,,,,2020-12-26
2020-12-27,BHR,Bahrain,53614,53614,,2058,3662,3.15,3.15,,2152,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1358883639925354496,,,,,,,2020-12-27
2020-12-28,BHR,Bahrain,55014,55014,,1400,3210,3.23,3.23,,1886,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1358883639925354496,,,,,,,2020-12-28
2020-12-29,BHR,Bahrain,56041,56041,,1027,2846,3.29,3.29,,1673,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1358883639925354496,,,,,,,2020-12-29
2020-12-30,BHR,Bahrain,57317,57317,,1276,2622,3.37,3.37,,1541,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1358883639925354496,,,,,,,2020-12-30
2020-12-31,BHR,Bahrain,58643,58643,,1326,1225,3.45,3.45,,720,"Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://twitter.com/MOH_Bahrain/status/1358883639925354496,,,,,,,2020-12-31
